timestamp,activeOrders, sells,buys, digest
Sun Feb 15 02:03:34 UTC 2015 , 4 , 2 , 2 , 102632039 : { BUY 2823.5@0.00382401} 102632071 : { BUY 2822.59@0.00382401} 102631179 : { SELL 8388.79@0.00385858} 102631228 : { SELL 8388.79@0.00385858} 
Sun Feb 15 02:12:37 UTC 2015 , 4 , 2 , 2 , 102635807 : { BUY 2785.76@0.00384395} 102635859 : { BUY 2807.95@0.00384395} 102634929 : { SELL 8388.79@0.0038787} 102634997 : { SELL 8388.79@0.0038787} 
Sun Feb 15 02:24:42 UTC 2015 , 4 , 2 , 2 , 102640481 : { BUY 2790.51@0.00385332} 102640514 : { BUY 2789.6@0.00385332} 102639571 : { SELL 8400.32@0.00388816} 102639611 : { SELL 8400.32@0.00388816} 
Sun Feb 15 02:30:43 UTC 2015 , 4 , 2 , 2 , 102642651 : { BUY 2786.4@0.003859} 102642697 : { BUY 2785.5@0.003859} 102641847 : { SELL 8400.32@0.00389388} 102641905 : { SELL 8400.32@0.00389388} 
Sun Feb 15 02:36:45 UTC 2015 , 4 , 2 , 2 , 102643238 : { BUY 2795.05@0.00384706} 102643289 : { BUY 2794.14@0.00384706} 102644138 : { SELL 8400.32@0.00388184} 102644194 : { SELL 8400.32@0.00388184} 
Sun Feb 15 02:39:46 UTC 2015 , 4 , 2 , 2 , 102643238 : { BUY 2795.05@0.00384706} 102643289 : { BUY 2794.14@0.00384706} 102644138 : { SELL 8400.32@0.00388184} 102644194 : { SELL 8400.32@0.00388184} 
Sun Feb 15 02:45:48 UTC 2015 , 4 , 2 , 2 , 102647211 : { BUY 2801.63@0.00383802} 102647266 : { BUY 2800.73@0.00383802} 102648011 : { SELL 8400.32@0.00387272} 102648064 : { SELL 8400.32@0.00387272} 
Sun Feb 15 02:51:50 UTC 2015 , 4 , 2 , 2 , 102649032 : { BUY 2805.52@0.0038327} 102649098 : { BUY 2804.62@0.0038327} 102649883 : { SELL 8400.32@0.00386735} 102649920 : { SELL 8400.32@0.00386735} 
Sun Feb 15 02:57:52 UTC 2015 , 4 , 2 , 2 , 102652015 : { BUY 2801.74@0.00383787} 102652074 : { BUY 2800.84@0.00383787} 102651190 : { SELL 8400.32@0.00387257} 102651244 : { SELL 8400.32@0.00387257} 
Sun Feb 15 03:03:54 UTC 2015 , 4 , 2 , 2 , 102652893 : { BUY 2805.74@0.0038324} 102652942 : { BUY 2804.84@0.0038324} 102653777 : { SELL 8400.32@0.00386705} 102653841 : { SELL 8400.32@0.00386705} 
Sun Feb 15 03:12:57 UTC 2015 , 4 , 2 , 2 , 102656597 : { BUY 2815.78@0.00381873} 102656643 : { BUY 2814.88@0.00381873} 102657510 : { SELL 8400.32@0.00385325} 102657556 : { SELL 8400.32@0.00385325} 
Sun Feb 15 03:18:58 UTC 2015 , 4 , 2 , 2 , 102658943 : { BUY 2810.49@0.00382592} 102658997 : { BUY 2809.59@0.00382592} 102658063 : { SELL 8400.32@0.00386051} 102658115 : { SELL 8400.32@0.00386051} 
Sun Feb 15 03:25:02 UTC 2015 , 4 , 2 , 2 , 102661077 : { BUY 2814.27@0.00382078} 102661123 : { BUY 2813.37@0.00382078} 102661900 : { SELL 8400.32@0.00385533} 102661950 : { SELL 8400.32@0.00385533} 
Sun Feb 15 03:31:03 UTC 2015 , 4 , 2 , 2 , 102664032 : { BUY 2810.49@0.00382592} 102664092 : { BUY 2809.59@0.00382592} 102663252 : { SELL 8400.32@0.00386051} 102663294 : { SELL 8400.32@0.00386051} 
