timestamp,source,crypto,price,currency,sellprice,buyprice,otherfeeds
Sun Feb 15 01:36:31 UTC 2015,coinbase,btc,258.75,USD,0.00388214,0.00384736,{ feed : coinbase - price : 258.75}  { feed : bitcoinaverage - price : 258.64}  { feed : blockchain - price : 258.01}  { feed : btce - price : 257.782}  

Sun Feb 15 01:40:35 UTC 2015,coinbase,btc,259.97,USD,0.00386393,0.00382931,{ feed : coinbase - price : 259.97}  { feed : bitcoinaverage - price : 259.51}  { feed : blockchain - price : 259.45}  { feed : btce - price : 258.92}  

Sun Feb 15 01:44:39 UTC 2015,coinbase,btc,260.38,USD,0.00385784,0.00382328,{ feed : coinbase - price : 260.38}  { feed : bitcoinaverage - price : 260.04}  { feed : blockchain - price : 259.99}  { feed : btce - price : 259.074}  

Sun Feb 15 01:48:43 UTC 2015,coinbase,btc,261.35,USD,0.00384352,0.00380909,{ feed : coinbase - price : 261.35}  { feed : bitcoinaverage - price : 260.26}  { feed : blockchain - price : 259.99}  { feed : btce - price : 260.125}  

Sun Feb 15 01:57:52 UTC 2015,coinbase,btc,260.33,USD,0.00385858,0.00382401,{ feed : coinbase - price : 260.33}  { feed : bitcoinaverage - price : 259.78}  { feed : blockchain - price : 260.5}  { feed : btce - price : 260.5}  

Sun Feb 15 02:03:58 UTC 2015,coinbase,btc,259.99,USD,0.00386363,0.00382901,{ feed : coinbase - price : 259.99}  { feed : bitcoinaverage - price : 259.46}  { feed : blockchain - price : 259.64}  { feed : btce - price : 258.661}  

Sun Feb 15 02:08:05 UTC 2015,coinbase,btc,258.98,USD,0.0038787,0.00384395,{ feed : coinbase - price : 258.98}  { feed : bitcoinaverage - price : 258.64}  { feed : blockchain - price : 259.64}  { feed : btce - price : 259.299}  

Sun Feb 15 02:12:07 UTC 2015,coinbase,btc,258.4,USD,0.0038874,0.00385257,{ feed : coinbase - price : 258.4}  { feed : bitcoinaverage - price : 258.23}  { feed : blockchain - price : 258.85}  { feed : btce - price : 260.0}  

Sun Feb 15 02:17:11 UTC 2015,coinbase,btc,259.27,USD,0.00387436,0.00383965,{ feed : coinbase - price : 259.27}  { feed : bitcoinaverage - price : 258.31}  { feed : blockchain - price : 257.6}  { feed : btce - price : 258.7}  

Sun Feb 15 02:21:15 UTC 2015,coinbase,btc,258.35,USD,0.00388816,0.00385332,{ feed : coinbase - price : 258.35}  { feed : bitcoinaverage - price : 258.25}  { feed : blockchain - price : 257.89}  { feed : btce - price : 257.627}  

Sun Feb 15 02:27:21 UTC 2015,coinbase,btc,257.97,USD,0.00389388,0.003859,{ feed : coinbase - price : 257.97}  { feed : bitcoinaverage - price : 257.9}  { feed : blockchain - price : 257.89}  { feed : btce - price : 257.9}  

Sun Feb 15 02:31:25 UTC 2015,coinbase,btc,258.77,USD,0.00388184,0.00384706,{ feed : coinbase - price : 258.77}  { feed : bitcoinaverage - price : 258.25}  { feed : blockchain - price : 258.13}  { feed : btce - price : 258.777}  

Sun Feb 15 02:42:37 UTC 2015,coinbase,btc,259.38,USD,0.00387272,0.00383802,{ feed : coinbase - price : 259.38}  { feed : bitcoinaverage - price : 258.77}  { feed : blockchain - price : 258.68}  { feed : btce - price : 258.001}  

Sun Feb 15 02:47:41 UTC 2015,coinbase,btc,259.74,USD,0.00386735,0.0038327,{ feed : coinbase - price : 259.74}  { feed : bitcoinaverage - price : 258.86}  { feed : blockchain - price : 258.68}  { feed : btce - price : 258.1}  

Sun Feb 15 02:53:47 UTC 2015,coinbase,btc,259.39,USD,0.00387257,0.00383787,{ feed : coinbase - price : 259.39}  { feed : bitcoinaverage - price : 259.24}  { feed : blockchain - price : 259.27}  { feed : btce - price : 257.4}  

Sun Feb 15 02:58:52 UTC 2015,coinbase,btc,259.76,USD,0.00386705,0.0038324,{ feed : coinbase - price : 259.76}  { feed : bitcoinaverage - price : 259.18}  { feed : blockchain - price : 259.02}  { feed : btce - price : 258.083}  

Sun Feb 15 03:04:58 UTC 2015,coinbase,btc,260.23,USD,0.00386007,0.00382548,{ feed : coinbase - price : 260.23}  { feed : bitcoinaverage - price : 259.33}  { feed : blockchain - price : 260.52}  { feed : btce - price : 258.99}  

Sun Feb 15 03:09:02 UTC 2015,coinbase,btc,260.69,USD,0.00385325,0.00381873,{ feed : coinbase - price : 260.69}  { feed : bitcoinaverage - price : 259.71}  { feed : blockchain - price : 259.6}  { feed : btce - price : 259.39}  

Sun Feb 15 03:13:06 UTC 2015,coinbase,btc,260.2,USD,0.00386051,0.00382592,{ feed : coinbase - price : 260.2}  { feed : bitcoinaverage - price : 259.59}  { feed : blockchain - price : 259.6}  { feed : btce - price : 259.499}  

Sun Feb 15 03:21:14 UTC 2015,coinbase,btc,260.55,USD,0.00385533,0.00382078,{ feed : coinbase - price : 260.55}  { feed : bitcoinaverage - price : 259.68}  { feed : blockchain - price : 260.05}  { feed : btce - price : 259.0}  

Sun Feb 15 03:27:20 UTC 2015,coinbase,btc,260.2,USD,0.00386051,0.00382592,{ feed : coinbase - price : 260.2}  { feed : bitcoinaverage - price : 259.56}  { feed : blockchain - price : 259.71}  { feed : btce - price : 258.962}  

Sun Feb 15 03:35:28 UTC 2015,coinbase,btc,259.58,USD,0.00386973,0.00383506,{ feed : coinbase - price : 259.58}  { feed : bitcoinaverage - price : 259.42}  { feed : blockchain - price : 259.01}  { feed : btce - price : 258.4}  

Sun Feb 15 03:39:32 UTC 2015,coinbase,btc,260.5,USD,0.00385607,0.00382152,{ feed : coinbase - price : 260.5}  { feed : bitcoinaverage - price : 259.48}  { feed : blockchain - price : 259.08}  { feed : btce - price : 258.4}  

Sun Feb 15 03:40:33 UTC 2015,coinbase,btc,259.89,USD,0.00386512,0.00383049,{ feed : coinbase - price : 259.89}  { feed : bitcoinaverage - price : 259.24}  { feed : blockchain - price : 259.08}  { feed : btce - price : 258.305}  

Sun Feb 15 03:44:38 UTC 2015,coinbase,btc,258.52,USD,0.0038856,0.00385079,{ feed : coinbase - price : 258.52}  { feed : bitcoinaverage - price : 258.37}  { feed : blockchain - price : 257.03}  { feed : btce - price : 257.521}  

Sun Feb 15 03:51:44 UTC 2015,coinbase,btc,259.16,USD,0.003876,0.00384128,{ feed : coinbase - price : 259.16}  { feed : bitcoinaverage - price : 258.09}  { feed : blockchain - price : 258.11}  { feed : btce - price : 258.396}  

Sun Feb 15 03:58:55 UTC 2015,coinbase,btc,258.77,USD,0.00388184,0.00384706,{ feed : coinbase - price : 258.77}  { feed : bitcoinaverage - price : 258.09}  { feed : blockchain - price : 258.62}  { feed : btce - price : 258.405}  

Sun Feb 15 04:02:57 UTC 2015,coinbase,btc,254.5,USD,0.00394697,0.00391161,{ feed : coinbase - price : 254.5}  { feed : bitcoinaverage - price : 255.68}  { feed : blockchain - price : 254.02}  { feed : btce - price : 255.0}  

Sun Feb 15 04:07:20 UTC 2015,bitcoinaverage,btc,255.08,USD,0.003938,0.00390272,{ feed : coinbase - price : 254.67}  { feed : bitcoinaverage - price : 255.08}  { feed : blockchain - price : 254.02}  { feed : btce - price : 254.713}  

Sun Feb 15 04:11:03 UTC 2015,coinbase,btc,255.71,USD,0.0039283,0.0038931,{ feed : coinbase - price : 255.71}  { feed : bitcoinaverage - price : 256.16}  { feed : blockchain - price : 254.93}  { feed : btce - price : 255.494}  

Sun Feb 15 04:14:07 UTC 2015,coinbase,btc,254.51,USD,0.00394682,0.00391146,{ feed : coinbase - price : 254.51}  { feed : bitcoinaverage - price : 256.31}  { feed : blockchain - price : 254.93}  { feed : btce - price : 254.045}  

Sun Feb 15 04:18:10 UTC 2015,coinbase,btc,255.6,USD,0.00392999,0.00389478,{ feed : coinbase - price : 255.6}  { feed : bitcoinaverage - price : 256.36}  { feed : blockchain - price : 254.0}  { feed : btce - price : 254.132}  

Sun Feb 15 04:26:18 UTC 2015,coinbase,btc,255.94,USD,0.00392477,0.0038896,{ feed : coinbase - price : 255.94}  { feed : bitcoinaverage - price : 256.14}  { feed : blockchain - price : 255.06}  { feed : btce - price : 254.915}  

Sun Feb 15 04:30:23 UTC 2015,coinbase,btc,256.28,USD,0.00391956,0.00388444,{ feed : coinbase - price : 256.28}  { feed : bitcoinaverage - price : 256.63}  { feed : blockchain - price : 256.04}  { feed : btce - price : 253.95}  

Sun Feb 15 04:34:26 UTC 2015,coinbase,btc,256.76,USD,0.00391223,0.00387718,{ feed : coinbase - price : 256.76}  { feed : bitcoinaverage - price : 256.66}  { feed : blockchain - price : 256.32}  { feed : btce - price : 254.989}  

Sun Feb 15 04:38:33 UTC 2015,coinbase,btc,257.27,USD,0.00390448,0.0038695,{ feed : coinbase - price : 257.27}  { feed : bitcoinaverage - price : 256.71}  { feed : blockchain - price : 256.84}  { feed : btce - price : 254.775}  

Sun Feb 15 04:43:37 UTC 2015,coinbase,btc,255.89,USD,0.00392553,0.00389036,{ feed : coinbase - price : 255.89}  { feed : bitcoinaverage - price : 256.33}  { feed : blockchain - price : 256.84}  { feed : btce - price : 254.154}  

Sun Feb 15 04:47:40 UTC 2015,coinbase,btc,257.0,USD,0.00390858,0.00387356,{ feed : coinbase - price : 257.0}  { feed : bitcoinaverage - price : 256.34}  { feed : blockchain - price : 256.49}  { feed : btce - price : 254.99}  

Sun Feb 15 04:55:50 UTC 2015,coinbase,btc,257.87,USD,0.00389539,0.00386049,{ feed : coinbase - price : 257.87}  { feed : bitcoinaverage - price : 257.31}  { feed : blockchain - price : 256.75}  { feed : btce - price : 255.689}  

Sun Feb 15 04:58:52 UTC 2015,coinbase,btc,257.4,USD,0.00390251,0.00386754,{ feed : coinbase - price : 257.4}  { feed : bitcoinaverage - price : 257.5}  { feed : blockchain - price : 257.68}  { feed : btce - price : 256.299}  

Sun Feb 15 05:04:56 UTC 2015,coinbase,btc,257.85,USD,0.0038957,0.00386079,{ feed : coinbase - price : 257.85}  { feed : bitcoinaverage - price : 257.4}  { feed : blockchain - price : 257.54}  { feed : btce - price : 256.935}  

Sun Feb 15 05:09:01 UTC 2015,coinbase,btc,258.31,USD,0.00388876,0.00385392,{ feed : coinbase - price : 258.31}  { feed : bitcoinaverage - price : 257.59}  { feed : blockchain - price : 257.54}  { feed : btce - price : 256.365}  

Sun Feb 15 05:13:05 UTC 2015,coinbase,btc,257.74,USD,0.00389736,0.00386244,{ feed : coinbase - price : 257.74}  { feed : bitcoinaverage - price : 257.87}  { feed : blockchain - price : 257.54}  { feed : btce - price : 256.001}  

Sun Feb 15 05:19:11 UTC 2015,coinbase,btc,258.23,USD,0.00388996,0.00385511,{ feed : coinbase - price : 258.23}  { feed : bitcoinaverage - price : 257.54}  { feed : blockchain - price : 257.57}  { feed : btce - price : 256.642}  

